#{"t_start": 1653929670.751595, "env_id": "InvertedDoublePendulum-v2"}
r,l,t
91.809817,10,18.936116
101.284959,11,19.006802
120.194444,13,19.083094
240.831313,26,19.186136
120.018776,13,19.358193
101.698497,11,19.44544
110.486489,12,19.526644
148.246395,16,19.61514
129.4178,14,19.724726
110.483215,12,19.821278
101.387653,11,19.903867
139.063922,15,19.981145
167.038348,18,20.091269
138.735899,15,20.216908
185.912734,20,20.322703
101.061701,11,20.458378
148.273038,16,20.541493
138.580313,15,20.654495
91.843115,10,20.751262
147.842199,16,20.827176
240.906778,26,20.943884
202.627392,22,21.120078
119.616311,13,21.289806
232.19538,25,21.395885
148.120597,16,21.558274
129.033719,14,21.669117
101.682016,11,21.763752
101.483057,11,21.844163
110.832267,12,21.918481
129.293436,14,22.006988
110.956495,12,22.1026
185.053564,20,22.191134
176.506548,19,22.333289
101.660026,11,22.460937
110.34723,12,22.53538
92.206863,10,22.619921
101.433268,11,22.691262
101.441972,11,22.770124
92.245119,10,22.844668
101.609222,11,22.915056
129.434335,14,22.996429
185.601084,20,23.096677
110.739858,12,23.229671
194.618434,21,23.319908
194.929381,21,23.460991
269.360927,29,23.613584
166.584837,18,23.801601
232.093032,25,23.930963
157.546401,17,24.099519
92.325492,10,24.209097
138.454973,15,24.282608
203.952647,22,24.395132
166.37293,18,24.543568
101.001843,11,24.664
129.746574,14,24.740184
120.116819,13,24.837842
129.314067,14,24.931006
195.06308,21,25.03396
147.994688,16,25.173145
203.63314,22,25.287646
278.090396,30,25.445153
193.885924,21,25.645722
138.287499,15,25.787027
119.857077,13,25.885716
184.892922,20,25.982386
232.096817,25,26.123601
194.588592,21,26.289015
325.823195,35,26.445816
175.307901,19,26.670068
138.308835,15,26.800302
194.496775,21,26.905708
129.017111,14,27.047417
184.663272,20,27.14843
129.025298,14,27.281139
166.640593,18,27.380667
296.573604,32,27.514902
156.924107,17,27.722814
241.531588,26,27.845039
128.844711,14,28.015222
185.568848,20,28.116299
241.438959,26,28.292011
185.077995,20,28.46712
175.279932,19,28.604954
129.109641,14,28.735436
204.346543,22,28.837739
156.962539,17,28.985126
119.282286,13,29.096717
175.398673,19,29.194342
119.738126,13,29.332034
175.532433,19,29.428792
334.510224,36,29.567893
157.021133,17,29.803133
138.387527,15,29.921947
147.87423,16,30.023062
175.604495,19,30.136243
157.128795,17,30.268638
222.343161,24,30.389815
278.71393,30,30.559621
166.516997,18,30.757073
222.70359,24,30.886203
278.328909,30,31.055633
222.088771,24,31.257961
157.226037,17,31.418407
184.12993,20,31.540133
277.564978,30,31.686537
213.144368,23,31.886027
250.46298,27,32.043299
176.120131,19,32.226489
278.312598,30,32.361604
194.84039,21,32.560429
324.357248,35,32.718976
203.491515,22,32.987589
138.51459,15,33.17923
325.374704,35,33.359176
334.197573,36,33.610154
315.005085,34,33.94122
287.67139,31,34.242641
166.567101,18,34.522108
250.553351,27,34.745342
249.964356,27,35.046797
306.082979,33,35.375773
241.089804,26,35.807974
381.391376,41,36.121096
437.236985,47,36.519802
137.76867,15,36.922757
287.103405,31,37.114555
315.995333,34,37.441455
278.741065,30,37.730224
250.484478,27,38.131731
287.981244,31,38.462032
231.560135,25,38.825724
156.901469,17,39.121093
156.8891,17,39.256178
156.902155,17,39.399213
259.449948,28,39.538377
184.112118,20,39.746718
241.324819,26,39.907441
165.639428,18,40.086957
231.131041,25,40.237213
278.263071,30,40.427313
287.428522,31,40.637243
250.125488,27,40.861548
203.272905,22,41.058375
231.776493,25,41.231585
324.883502,35,41.414339
409.303701,44,41.683561
390.324707,42,42.00486
362.783348,39,42.298051
231.571264,25,42.558233
240.829137,26,42.744263
315.792819,34,42.935792
550.247366,59,43.189229
428.033119,46,43.580303
297.228043,32,43.886753
230.965571,25,44.10548
193.901243,21,44.284842
315.740436,34,44.477362
352.782832,38,44.723893
306.909418,33,44.98191
400.683001,43,45.332648
324.812793,35,45.798809
240.727531,26,46.076298
259.149686,28,46.285103
259.923991,28,46.529127
