#{"t_start": 1653930631.4645493, "env_id": "Reacher-v2"}
r,l,t
-6.334891,50,670.791998
-8.545212,50,671.607188
-5.682634,50,672.433357
-7.289763,50,673.263724
-10.734998,50,674.085266
-11.319087,50,674.913173
-3.615056,50,675.741543
-7.774852,50,676.563686
-7.665403,50,677.40049
-9.442497,50,678.228742
-8.35961,50,679.056416
-6.955202,50,679.885639
-6.355875,50,680.863123
-10.958535,50,681.910306
-9.388927,50,682.92144
-4.843292,50,683.813
-3.305228,50,684.641542
-9.685052,50,685.477663
-6.162185,50,686.31647
-6.560382,50,687.145492
-5.74725,50,687.972625
-9.670688,50,688.804512
-3.054684,50,689.630741
-9.293296,50,690.460945
-4.786102,50,691.293378
-4.328414,50,692.144358
-4.983196,50,692.978711
-6.790651,50,693.811795
-6.944022,50,694.63263
-5.069279,50,695.465162
-4.947338,50,696.294399
-7.920184,50,697.126412
-4.849759,50,698.11002
-8.841425,50,699.288959
-3.062658,50,700.268359
-4.093911,50,701.164194
-4.557478,50,701.996495
-3.310165,50,702.838686
-3.750711,50,703.671822
-7.774384,50,704.505652
-5.524035,50,705.347046
-6.081155,50,706.184973
-4.639879,50,707.015307
-5.668464,50,707.852861
-12.170155,50,708.683079
-5.081839,50,709.513041
-8.130491,50,710.351739
-5.099573,50,711.184006
-6.718612,50,712.017557
-4.547862,50,712.859166
-7.512956,50,713.692871
-10.366144,50,714.526834
-8.043681,50,715.524784
-7.707419,50,716.652692
-3.459459,50,717.67
-5.121132,50,718.540944
-6.528994,50,719.379294
-6.861273,50,720.228526
-5.906995,50,721.061026
-3.872195,50,721.900923
-4.329728,50,722.744031
-5.24103,50,723.588153
-6.541954,50,724.433846
-8.107587,50,725.271446
-5.279001,50,726.109428
-3.890344,50,726.950235
-8.669134,50,727.78839
-6.105352,50,728.632096
-3.230647,50,729.476276
-9.891152,50,730.321019
-6.268081,50,731.167265
-2.955777,50,732.009516
-5.107337,50,732.996109
-5.300081,50,734.066912
-4.561872,50,735.066415
-6.050045,50,735.976922
-4.632692,50,736.821632
-8.224363,50,737.666781
-8.616207,50,738.514495
-6.995931,50,739.3615
-2.927162,50,740.210943
-6.504607,50,741.150871
-5.515394,50,742.002866
-5.309741,50,742.850131
-7.056214,50,743.692887
-3.665952,50,744.541192
-3.649548,50,745.386878
-5.995228,50,746.248107
-3.119199,50,747.096193
-3.812603,50,747.951072
-3.373899,50,748.794791
-4.027635,50,749.649851
-10.021146,50,750.653793
-4.322439,50,751.739566
-6.56795,50,752.768876
-5.523546,50,753.660083
-7.049514,50,754.510899
-7.429025,50,755.365406
-8.564247,50,756.21146
-8.627033,50,757.062662
-7.812318,50,757.91795
-6.864347,50,758.770226
-8.348429,50,759.62396
-4.927396,50,760.480755
-6.168405,50,761.348634
-4.908017,50,762.214866
-8.102155,50,763.068576
-7.851732,50,763.925575
-6.8596,50,764.785041
-6.838815,50,765.641556
-6.876175,50,766.498206
-7.688349,50,767.358737
-8.794132,50,768.599558
-8.114573,50,769.740603
-6.242051,50,770.77436
-4.584336,50,771.680914
-5.560367,50,772.541779
-7.278594,50,773.407274
-2.792226,50,774.264954
-6.826699,50,775.135636
-3.861013,50,775.996372
-6.86971,50,776.862655
-9.431769,50,777.727394
-2.671384,50,778.590351
-7.766903,50,779.452106
-7.195368,50,780.314822
-4.846949,50,781.17924
-6.575346,50,782.037117
-6.126663,50,782.902134
-4.709871,50,783.761782
-8.808999,50,784.624602
-3.581811,50,785.493115
-7.771467,50,786.534856
-3.104072,50,787.623896
-7.60606,50,788.703407
-4.955922,50,789.585888
-4.634863,50,790.45794
-6.598803,50,791.332721
-3.110228,50,792.213463
-3.961983,50,793.087499
-3.795869,50,793.960356
-8.00583,50,794.830876
-6.562496,50,795.697137
-4.535987,50,796.567163
-6.165443,50,797.442374
-2.6322,50,798.314503
-7.720404,50,799.186389
-6.250436,50,800.059792
-8.197864,50,800.935345
-7.094124,50,801.812216
-9.896568,50,802.694682
-6.508358,50,803.58186
-8.182747,50,804.626449
-6.17464,50,805.757453
-6.832216,50,806.784596
-9.724248,50,807.736259
-4.11039,50,808.615016
-4.001745,50,809.493812
-9.637461,50,810.37693
-7.111897,50,811.259242
-3.89916,50,812.137057
-5.417647,50,813.019686
-3.796881,50,813.900591
-6.452397,50,814.778728
-6.401653,50,815.66113
-5.667275,50,816.547137
-6.545847,50,817.43183
-4.176281,50,818.326147
-7.558389,50,819.217095
-6.894243,50,820.101293
-4.319889,50,820.990064
-5.815204,50,821.873986
-7.907272,50,822.929163
-5.856739,50,824.042068
-6.071582,50,825.092441
-4.058809,50,825.992013
-6.819333,50,826.895092
-9.19987,50,827.790745
-3.786543,50,828.710389
-8.166725,50,829.604012
-9.215968,50,830.508422
-5.811781,50,831.405656
-7.635411,50,832.296679
-3.576861,50,833.199512
-8.414128,50,834.093541
-5.047511,50,834.99671
-7.380366,50,835.894893
-3.409482,50,836.794367
-5.328882,50,837.691914
-5.808463,50,838.593897
-5.084973,50,839.570706
-6.160028,50,840.47595
-3.555293,50,841.389575
-5.485091,50,842.293624
-8.906543,50,843.191895
-5.588505,50,844.089907
